Architecture    Offer                                 Publisher    Sku                    Urn                                                                                 Version
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202311010              22.04.202311010
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202312010              22.04.202312010
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202312060              22.04.202312060
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202401191              22.04.202401191
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202401250              22.04.202401250
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202402020              22.04.202402020
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202402071              22.04.202402071
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202402080              22.04.202402080
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202402270              22.04.202402270
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202403010              22.04.202403010
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202403080              22.04.202403080
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202403280              22.04.202403280
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202404090              22.04.202404090
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202405010              22.04.202405010
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202405140              22.04.202405140
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202406140              22.04.202406140
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202406260              22.04.202406260
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202406270              22.04.202406270
